M,N,z_open,final_cpnl,sharpe_ratio,total_signals,max_position
12,4,0.4,-0.6280789250233813,-0.22902504306022217,12964,4.0
12,4,0.6,-0.19584468443090142,-0.07645935198640927,11255,4.0
12,4,0.8,-0.1728389982782932,-0.07395275238396379,9539,4.0
12,4,1.0,-0.32250529527736393,-0.15327027240076238,7806,4.0
12,8,0.2,-0.1426604244082803,-0.028526139320272967,14540,8.0
12,8,0.4,-0.06793546215533619,-0.014195217675651954,12964,8.0
12,8,0.6,1.5114610222530098,0.3393087070696104,11255,8.0
12,8,0.8,1.4820526914726702,0.36854421434108636,9539,8.0
12,8,1.0,1.571469232761117,0.44237393859403085,7806,8.0
12,12,0.2,0.21644743944351652,0.03214791575498918,14540,12.0
12,12,0.4,-0.08960577478680842,-0.013884323135022946,12964,12.0
12,12,0.6,1.1969163692527263,0.19983140281234635,11255,12.0
12,12,0.8,1.9083376257856652,0.35445059381647576,9539,12.0
12,12,1.0,2.054736518119739,0.43409481982527637,7806,12.0
12,16,0.2,-0.41335670719539075,-0.051704028060015936,14540,16.0
12,16,0.4,-0.8606100348851337,-0.11227135370161756,12964,16.0
12,16,0.6,0.09493288687503665,0.013337957909033353,11255,16.0
12,16,0.8,1.2992359548987427,0.20294521987109462,9539,16.0
12,16,1.0,1.4841121238168273,0.26587776627355864,7806,16.0
12,20,0.2,-4.417502541929853,-0.4868361863282869,14540,20.0
12,20,0.4,-4.246782200784029,-0.4876948496168663,12964,20.0
12,20,0.6,-2.515590621456778,-0.3125896716891069,11255,20.0
12,20,0.8,-0.9716724417490877,-0.13328116233315104,9539,20.0
12,20,1.0,0.23215712748169115,0.036538617422879525,7806,20.0
12,24,0.2,-6.661963356719454,-0.6575765033676472,14540,24.0
12,24,0.4,-7.288508305723653,-0.7492118803165391,12964,24.0
12,24,0.6,-4.959965804315286,-0.5492624781399319,11255,24.0
12,24,0.8,-3.727306135044787,-0.4539303068303127,9539,23.0
12,24,1.0,-2.6185303285421613,-0.36514733168355623,7806,22.0
12,28,0.2,-3.7549509655145927,-0.3468309790858278,14540,28.0
12,28,0.4,-4.406914754513878,-0.4234029301018297,12964,28.0
12,28,0.6,-2.511871127043716,-0.2597504062584621,11255,28.0
12,28,0.8,-1.9482972020205827,-0.2197802038105209,9539,27.0
12,28,1.0,-1.4250643704277237,-0.18349935809645557,7806,25.0
12,32,0.2,0.49861595080735577,0.04314052804502377,14540,32.0
12,32,0.4,-0.8328316364499697,-0.07507656910072232,12964,32.0
12,32,0.6,-0.07625792239041529,-0.007386657207900571,11255,32.0
12,32,0.8,0.0292501455180606,0.0030714241259846755,9539,31.0
12,32,1.0,0.1078505652700189,0.012898888117413985,7806,29.0
12,36,0.2,4.514731069924366,0.3660365183412351,14540,36.0
12,36,0.4,3.6402760303947312,0.3086723031895085,12964,36.0
12,36,0.6,4.24315220412176,0.38577930952345235,11255,35.0
12,36,0.8,3.9502375821859674,0.38792204838026934,9539,35.0
12,36,1.0,2.8587260073628773,0.3200961588562687,7806,31.0
12,40,0.2,5.986559557880516,0.45765306426208785,14540,40.0
12,40,0.4,5.265108719708174,0.42196038323222446,12964,40.0
12,40,0.6,6.371898808247622,0.5471317864711529,11255,39.0
